,BM,IdioVol3F,Investment,Mom12m,OperProf,Size,SP500,RSSL2K,USDIDX,TBLL13WK,VIX,GDP,UNRATE,INFLATION,POLICY,GLDRSRV,CRUDOIL,regime
1997-03-31,0.013659955979695049,0.08110091708270062,-0.0006579691330070858,0.0342635379177092,0.0023636340531543176,-0.00021676406139903293,-0.04261401064074877,-0.048576561109153205,-0.0017915288232561721,0.019723846399752665,0.04928905162921482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-04-30,-0.06277394044549856,0.07658805687637438,0.0180235118176022,0.11360304567864499,0.07649071075477187,-0.07921379785277138,0.05840557906734034,0.0012844536564167175,0.025971273783461202,-0.01353968484107948,-0.09394760528668133,0.01867469123143306,-0.037735849056603765,0.0031367628607277265,-0.5848359378478252,-0.04075594405204719,-0.21652761223678996,0.0
1997-05-31,0.00815916315087084,-0.12254535275859402,-0.019019959648084783,-0.09450119590056116,-0.049042145568837237,-0.024724937167090788,0.05857688480332501,0.11008749202806123,-0.02397614554165206,-0.05490190945236184,-0.04336983823762508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-06-30,-0.02456633701336386,0.03908918623403146,-0.012367185365888655,0.035732972083712955,-0.008123535168861995,-0.00022524992196681914,0.043452614795275846,0.04099691393844429,0.008645226231057457,0.04771784458136419,0.1219385141983167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-07-31,0.023913537387233008,0.02188276607853279,-0.00751508918041599,0.0701717652479883,0.005382662158311069,-0.054271807040645936,0.07814580943742477,0.04568967402233959,0.041496825511508906,0.00990093307113904,-0.0023223939997454313,0.016903504884769882,-0.039215686274509665,0.0031269543464664817,0.9132439678284181,0.004504563004237072,-0.004563894523326617,0.0
1997-08-31,0.05405944751610181,-0.08505491329395665,-0.00902634238653488,-0.10397601162395997,-0.06230080798644144,0.08489347239629841,-0.057465631708528364,0.021593277003045586,-0.006423117157454805,-0.0019607357316996366,0.15270022144069473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-09-30,-0.010732594562536946,-0.015521088597081456,0.017744030243838527,-0.005215430357926265,-0.03260462280533716,0.02697989900262754,0.053153590615567126,0.0717710487544676,-0.01909090292574178,-0.023575708997813805,-0.07471730066107807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-10-31,-0.009308747430840536,0.060466662382826275,-0.004923925019472808,0.022951778089201236,0.009816569921309526,0.038080197920070225,-0.03447769737522022,-0.04530429956100457,-0.015137485443970089,0.018108683377715096,0.5316455864818184,0.011899585158325232,-0.04081632653061229,0.006857855361595888,-0.609551034134858,0.03481580695585862,0.08303616912888456,0.0
1997-11-30,-0.018736025677249524,0.09979881534484569,0.018259055871417518,0.07792130498538308,0.06540308523930571,-0.08718520995567847,0.044586855212639165,-0.00770898828095723,0.02248014993307934,0.0,-0.21829580547457428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-12-31,0.005512287566055818,0.09381800096728621,0.01322121703750656,0.04581436149429163,0.02640078761636122,-0.09013601429245122,0.01573159710869443,0.016514643106120275,0.01902035579239092,0.02766795811635747,-0.12468100759184553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-31,-0.030086998993245517,0.012461820450029526,-0.0034898966771397255,0.012195056684394912,-0.007678222568025195,0.006426182594569951,0.010150177442407982,-0.015948930016757457,0.011440033840364627,-0.030769202554013275,-0.10578929159992068,0.011473199521738087,-0.021276595744680993,0.003095975232198178,0.17327016939420048,0.034576917052820955,-0.21401693320790216,0.0
1998-02-28,0.02259666487814127,-0.013248436893857019,-0.003739405542317553,0.0226735499240589,-0.006997128669557262,-0.03387438381888774,0.07044919253631243,0.07389838316794983,-0.009623982655939112,0.02777775149707007,-0.13600373403261756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-31,0.004889932985619572,0.010385500366797862,0.02560120401116439,0.007830687925627133,-0.04036245759238888,0.0017593250685392636,0.049945714341220526,0.040815899035534065,0.016830297638869673,-0.0366795489414905,0.3056603940428204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-30,-0.010387636669722533,-0.027603618105441208,-0.00013478701591762565,-0.009951537629512841,-0.014968541967571247,0.026723215376653675,0.009076469253460395,0.004597699106122066,-0.01763547700026935,-0.02805608675493476,-0.12551606500263224,0.011641485685413011,-0.06521739130434778,0.0012345679012344402,-0.44390064847669153,0.005483135296571184,-0.07600239377618201,0.0
1998-05-31,0.0219832239669302,0.06447375208263195,0.0003623926162368285,0.0759278358321096,0.036323335432541404,-0.0218571909184202,-0.018826223261468433,-0.0544016623544713,0.007421501058711533,0.008247414977229361,0.006609980530275283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-30,-0.03184133238631082,0.03362201821663047,0.036000769132991994,0.12213547430346794,-0.00308487828708659,-0.0824058091042289,0.03943824063504042,0.0016863465014325119,0.007167757516947537,0.016359903045058743,-0.07551597717622938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-31,-0.03355407345664596,0.07894493423075066,0.008276926055157618,0.07859582859817804,0.006420056674306895,-0.026710432761782754,-0.011615326917385427,-0.0822930397318985,0.00029651853157863783,-0.0040241412013706235,0.25824456565285914,0.016878827260535578,0.04651162790697683,0.006165228113440113,0.03850385038503856,0.0326343230781978,-0.08808290155440412,0.0
1998-08-31,0.017575473950553366,0.1551353070420618,0.005128099978295442,0.0475047873745551,0.11033434637719797,-0.0405021663058035,-0.14579671825011387,-0.19487787443232574,-0.009881423222882546,-0.03838375509180225,0.7854838766739101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-30,-0.009899202053581524,0.04762072230404124,-0.022256021442686902,-0.04719818496601169,-0.05260617103481935,-0.07319533857368132,0.06239551504341101,0.07586916172428504,-0.040219549920530895,-0.1071429000753723,-0.0752032093079994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-10-31,-0.06035058661766701,-0.021253057691802857,0.0042083351858202,-0.05891799396245068,-0.00011574321422236356,-0.09232586477540428,0.08029422856762891,0.04007262980546522,-0.025371684085147894,-0.009411755730124094,-0.3150183464112083,0.018955395387199703,0.0,0.004289215686274606,3.1417372881355927,0.11316203802229374,0.022017045454545414,0.0
1998-11-30,-0.0038889877885582846,-0.07786124357955149,0.03243926774796879,0.0332432894683683,-0.028173198721352932,0.02004608219747661,0.05912599628568138,0.05180345924524188,0.02635221917044661,0.04988124376345704,-0.07272723934635261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-31,-0.04605197824388896,-0.040734251042764735,-0.030995787844475764,0.07796520872637158,-0.131302732957017,-0.08183709772728387,0.056375287084956094,0.060867357523766596,-0.021101859082064855,-0.015837142636447754,-0.06113033981531202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-31,-0.04245425643915879,-0.172652421466998,0.0187287140477852,0.038782175638998995,-0.07549116259076671,0.10252280327112806,0.04100944085374847,0.012465659949149499,0.02028250715989932,0.0022989032416267374,0.07493857158020867,0.012663128251361622,-0.04444444444444451,0.004881025015253115,-0.3095810527392706,0.021823369285751015,-0.13342599027102153,0.0
1999-02-28,-0.00682518459862369,0.061691616036043895,-0.001457647715865984,0.04302545093276655,-0.016047393041089375,0.013970759361886076,-0.032282562377591306,-0.08183135470059066,0.0270607662840483,0.04357799344086444,0.06209520612444197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-03-31,-0.014099456080189587,-0.06410703770893345,-0.041927550116698464,-0.028608359220747892,-0.13847919359913108,-0.05204758803509224,0.0387942154089167,0.013689886767698,0.014389928704437116,-0.041758252583671274,-0.1657101531906119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-04-30,0.033396903518139176,-0.11435779899729404,-0.018010003572074273,-0.14028505666913194,-0.036763265162377934,0.06754177891676671,0.03794402759627746,0.08847419018629976,0.00899102437160959,0.01605497538546974,0.07781596939517277,0.012168706932512041,0.0,0.007285974499089409,-0.7211973031043936,-0.10029795805348007,0.3905372894947874,0.0
1999-05-31,0.037997610555158934,0.05051788043963934,-0.022840526121713944,-0.05964868227899689,0.05140592375282682,0.021485864270525568,-0.024970480796175143,0.013562522008038647,0.014950516200301855,0.01805878186076937,0.012764248054230709,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-30,-0.0079269533145363,-0.03547839065211977,0.028351581643490054,0.01978288913782089,0.06376533418594033,-0.03580094031432823,0.054438331114324834,0.04331175416527944,0.003316713791877257,0.03547668276987603,-0.16935798898891152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-07-31,0.006696841164366862,0.057528162885220224,0.0018177764231344096,0.019981111354063774,0.007666794956110223,0.07032038902931381,-0.032046092391091685,-0.028207489662443797,-0.030140967623845993,-0.01070667878329945,0.16832618356453355,0.01683943562025192,0.0,0.004822182037371725,2.805474355567366,-0.006201205206615934,0.1574394463667821,0.0
1999-08-31,0.0033494475007729285,-0.010978649900682091,0.0176548379585435,0.048031866290909164,0.033121079450733504,-0.02762344328432098,-0.006254091687235008,-0.03808710762831058,0.002004981937265171,0.04978355514518662,-0.0077109834178327175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-09-30,-0.0010171672428729295,-0.06215584873039759,0.021762000257692815,0.020952558929743903,-0.03650452672013582,0.008404322058747526,-0.028551792448024638,-0.0012388069932713908,-0.014107014264792883,-0.028865952420302543,0.03926376501091133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-10-31,-0.04344713939244271,-0.0031562458819502925,-0.04223342104296457,0.11654610887565409,-0.01702330860131196,-0.08557304515058473,0.0625395414523846,0.0031360329832681444,0.0052770107391433285,0.053078555833378616,-0.1263281819657146,0.02204513728516,-0.04651162790697683,0.008398320335932796,-0.7329608938547485,-0.0012288152543106223,0.12805181863477832,0.0
1999-11-30,-0.02803759001453232,-0.19759808374921906,0.07596949662207209,0.010707089681431192,-0.03870330008547751,0.11323849947840925,0.019061858969220413,0.05935043639053039,0.029578037324730078,0.038306462854674095,0.08918916550407174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-12-31,0.05609608112482656,-0.20265747027330905,0.27034727594529406,0.13796231516198287,-0.09270310117340064,0.058933204472999545,0.05784389473992291,0.11158829925588543,-0.0011765380890365051,0.0038834913701271123,0.019023948662820978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-31,0.01796237078214502,0.004773144464590207,-0.04909034092134723,0.01882180751018203,-0.039099067126190046,0.16492404219148793,-0.05090354879190062,-0.016879621621935348,0.03200151584314437,0.06963251996167585,0.012581224877028507,0.010303864509787708,-0.024390243902438935,0.007138607971445721,0.7792887029288704,-0.053566314938478854,0.20053003533568892,0.0
2000-02-29,0.06998008525202493,-0.31185234191675504,0.0953932993800477,0.23613449063637804,-0.1176952508292981,0.259125449837758,-0.020108083256356934,0.16419807182635915,0.007514514754747514,0.01989143806579685,-0.06332664831229085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-31,-0.001309277441138068,0.3229197844607128,-0.09621282380199625,-0.07296366155835465,0.10718837114135904,-0.14653408009477897,0.09671982835364812,-0.06685013873450762,-0.004531681796042797,0.014184383971608927,0.0316645162406608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-30,-0.0630732395736684,0.22596324810683632,-0.12695939810778,-0.12079971639255693,0.07436248314000471,-0.18703085983199197,-0.030795755780191336,-0.060917518817823035,0.044575083833614526,-0.012237709334229407,0.08668602653168578,0.024548750827194654,-0.050000000000000044,0.00945067926757237,-0.5583480305702528,-0.05596753967995727,-0.052980132450331174,0.0
2000-05-31,0.03049288658206417,0.18613581744232377,-0.07168572843355203,-0.193626644021337,0.05944612810344596,-0.09142797719993423,-0.021915050603417807,-0.05939754533178998,-0.012711108894472134,-0.028318640982051613,-0.09732828512036606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-30,-0.04395036392737639,-0.21705941995934286,0.012681262527563186,0.19169246033826903,-0.03162079753453695,0.06894722231589956,0.023933549615877237,0.08620687224235946,-0.01747288544422476,0.038251374663391235,-0.17378430314149595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-07-31,0.02717329749766062,0.12418542433378299,-0.06493217533613116,0.0005360318477747317,0.08132570179444398,-0.0033655443167438515,-0.016341275904170893,-0.03207464077251965,0.025552259926139742,0.05614038287180789,0.06141242576080175,0.006874212019844617,0.05263157894736836,0.010532475131655783,1.243926788685524,-0.0015259880830518213,0.15656565656565657,0.0
2000-08-31,0.03770828398684922,-0.07587159714852454,0.013106219455007562,0.06353828834372388,-0.03352735293879483,-0.03321566017739985,0.06069910494167097,0.07440475972772154,0.027653543741316566,0.014950191507149935,-0.18804241376903408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-30,0.04172571474920739,0.12149553822071502,-0.02297199456710519,-0.08057441816776667,0.05759381940801278,0.017954639828017926,-0.053482974719764265,-0.030712634704787023,0.005772660165961785,-0.013093276916188779,0.2214964078645285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
