,BM,IdioVol3F,Investment,Mom12m,OperProf,Size,SP500,RSSL2K,USDIDX,TBLL13WK,GDP,UNRATE,INFLATION,POLICY,GLDRSRV,CRUDOIL,regime
2006-03-31,10.333524458797037,21.186275381349212,2.309990822430681,155.9210488310905,2.5847982718505547,3.3726929279473548,1294.8699951171875,765.1400146484375,89.7300033569336,4.514999866485596,13599.16,4.7,199.3,194.14,54549.6131175617,65.51,0.0
2006-04-30,10.712938209675347,21.49552550369705,2.28772559649344,159.806464724064,2.6219268592015537,3.3829941090900433,1310.6099853515625,764.5399780273438,86.11000061035156,4.650000095367432,13753.424,4.7,200.7,171.33,55805.220977215,69.69,0.0
2006-05-31,10.62403610591154,22.79015603839339,2.257142952745643,154.1434624151702,2.6869580604890033,3.294300522508314,1270.0899658203125,721.010009765625,84.72000122070312,4.715000152587891,13753.424,4.7,200.7,171.33,55805.220977215,69.69,0.0
2006-06-30,10.767678732842905,23.24684569865013,2.301251604808154,156.98976356749648,2.7465892777605445,3.222089999919839,1270.199951171875,724.6699829101562,85.22000122070312,4.860000133514404,13753.424,4.7,200.7,171.33,55805.220977215,69.69,0.0
2006-07-31,10.789455903432009,24.653279189259223,2.3507936648679966,155.87462314304992,2.8678012274161166,3.1150721314138896,1276.6600341796875,700.5599975585938,85.30000305175781,4.934999942779541,13870.188,4.7,202.9,50.79,56517.7338298679,74.41,0.0
2006-08-31,10.864640749198639,24.183053539338704,2.371903828258225,147.2389368538767,2.7826766210683727,3.0523007949125347,1303.8199462890625,720.530029296875,85.05000305175781,4.90500020980835,13870.188,4.7,202.9,50.79,56517.7338298679,74.41,0.0
2006-09-30,10.824425839643713,24.561545325485543,2.442732290012527,144.50434060643522,2.796898430915826,3.0062858992811816,1335.8499755859375,725.5900268554688,85.97000122070312,4.760000228881836,13870.188,4.7,202.9,50.79,56517.7338298679,74.41,0.0
2006-10-31,11.223289313665454,23.86684432871284,2.4294923290359685,142.66533990790361,2.782431273317699,3.0151293579856464,1377.93994140625,766.8400268554688,85.31999969482422,4.940000057220459,14039.56,4.4,201.9,49.2,54547.3746564817,58.88,0.0
2006-11-30,11.21494918247356,23.295291769865376,2.3959667249079137,138.39820119019936,2.7759932687849505,3.020761101542722,1400.6300048828125,786.1199951171875,82.91999816894531,4.889999866485596,14039.56,4.4,201.9,49.2,54547.3746564817,58.88,0.0
2006-12-31,11.314027124926257,23.938790912138938,2.416353897537033,141.06110953629468,2.733418674296122,3.021020183422279,1418.300048828125,787.6599731445312,83.72000122070312,4.885000228881836,14039.56,4.4,201.9,49.2,54547.3746564817,58.88,0.0
2007-01-31,11.29387938509653,23.896514199057794,2.370808683502916,141.4797875281983,2.6751488409566235,3.089068842512363,1438.239990234375,800.3400268554688,84.61000061035156,4.974999904632568,14215.651,4.6,203.437,59.06,54022.3047083398,54.57,0.0
2007-02-28,11.655304007120723,23.766968494566388,2.3282527002085165,138.02370622266017,2.6456087038212632,3.175868341447388,1406.8199462890625,793.2999877929688,83.56999969482422,4.994999885559082,14215.651,4.6,203.437,59.06,54022.3047083398,54.57,0.0
2007-03-31,11.936612405334516,23.900260913018904,2.2994755761470898,142.50529109044987,2.6878565270342225,3.1542027738354608,1420.8599853515625,800.7100219726562,82.93000030517578,4.894999980926514,14215.651,4.6,203.437,59.06,54022.3047083398,54.57,0.0
2007-04-30,11.825625098501792,24.320509221993404,2.3442004838578905,141.6334145693527,2.7150792097094305,3.0755595131960325,1482.3699951171875,814.5700073242188,81.44999694824219,4.724999904632568,14402.082,4.5,205.904,55.68,55678.481519007,63.97,0.0
2007-05-31,12.087457934169642,23.91518975865186,2.2995627183416247,142.0522356709931,2.725590387002398,2.959903434716445,1530.6199951171875,847.1799926757812,82.30000305175781,4.590000152587891,14402.082,4.5,205.904,55.68,55678.481519007,63.97,0.0
2007-06-30,12.095156760865638,23.77932130752476,2.3089735710794677,141.72758287920533,2.7379433803100834,3.0331516525320095,1503.3499755859375,833.7000122070312,81.91999816894531,4.670000076293945,14402.082,4.5,205.904,55.68,55678.481519007,63.97,0.0
2007-07-31,11.63555565045231,23.80732994084105,2.2739622261837398,145.18167681586706,2.827326303997087,3.0161654749306437,1455.27001953125,776.1199951171875,80.7699966430664,4.809999942779541,14564.117,4.7,207.603,60.89,55988.1514580076,74.18,0.0
2007-08-31,11.522224213221792,24.551449906987862,2.29688807711722,149.96131587031786,2.8578422600743507,2.8214299664441502,1473.989990234375,792.8599853515625,80.79000091552734,3.990000009536743,14564.117,4.7,207.603,60.89,55988.1514580076,74.18,0.0
2007-09-30,11.647741174549822,24.675282398045397,2.2248276471209776,153.66924543340343,2.8501153542068196,2.741745427927072,1526.75,805.4500122070312,77.72000122070312,3.700000047683716,14564.117,4.7,207.603,60.89,55988.1514580076,74.18,0.0
2007-10-31,11.954162509326204,24.057242978095235,2.1297277573953273,163.2866132502534,2.8458556274614737,2.703441216304934,1549.3800048828125,828.02001953125,76.4800033569336,3.819999933242798,14715.058,4.7,209.19,69.22,58585.3887074256,86.2,0.0
2007-11-30,11.85406833751395,25.34024840601218,2.114470979567822,170.47571127162806,2.9695445777952494,2.5718764253517974,1481.1400146484375,767.77001953125,76.1500015258789,3.069999933242798,14715.058,4.7,209.19,69.22,58585.3887074256,86.2,0.0
2007-12-31,11.960979354838788,24.657198265062206,2.010343096893448,184.01851740206357,3.0664183871322743,2.524599820284926,1468.3599853515625,766.030029296875,76.69999694824219,3.140000104904175,14715.058,4.7,209.19,69.22,58585.3887074256,86.2,0.0
